id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67723	162.248.184.2/31	12425104	test.appdirect.com	1849389	NULL	NULL
67724	54.153.74.219/32	12425104	test.appdirect.com	1849389	NULL	NULL
67725	34.253.96.135/32	12425104	test.appdirect.com	1849389	NULL	NULL
67726	210.148.163.52/30	12425104	test.appdirect.com	1849389	NULL	NULL
67727	52.59.147.246/32	12425104	test.appdirect.com	1849389	NULL	NULL
67728	107.20.219.35/32	12425104	test.appdirect.com	1849389	NULL	NULL
67729	104.129.192.0/23	12425104	test.appdirect.com	1849389	NULL	NULL
67730	146.148.9.121/32	12425104	test.appdirect.com	1849389	NULL	NULL
67731	195.243.127.8/29	12425104	test.appdirect.com	1849389	NULL	NULL
67732	41.79.23.32/28	12425104	test.appdirect.com	1849389	NULL	NULL
67733	195.159.46.176/28	12425104	test.appdirect.com	1849389	NULL	NULL
67734	101.119.57.8/31	12425104	test.appdirect.com	1849389	NULL	NULL
67735	54.67.55.162/32	12425104	test.appdirect.com	1849389	NULL	NULL
67736	210.193.195.208/28	12425104	test.appdirect.com	1849389	NULL	NULL
67737	52.78.247.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67738	2.139.193.158/32	12425104	test.appdirect.com	1849389	NULL	NULL
67739	84.43.217.27/32	12425104	test.appdirect.com	1849389	NULL	NULL
67740	195.57.170.41/32	12425104	test.appdirect.com	1849389	NULL	NULL
67741	68.64.34.164/32	12425104	test.appdirect.com	1849389	NULL	NULL
67742	213.229.177.170/32	12425104	test.appdirect.com	1849389	NULL	NULL
67743	115.178.196.113/32	12425104	test.appdirect.com	1849389	NULL	NULL
67744	23.97.183.86/32	12425104	test.appdirect.com	1849389	NULL	NULL
67745	51.137.108.184/32	12425104	test.appdirect.com	1849389	NULL	NULL
67746	173.236.74.202/31	12425104	test.appdirect.com	1849389	NULL	NULL
67747	124.124.88.34/32	12425104	test.appdirect.com	1849389	NULL	NULL
67748	118.97.56.0/21	12425104	test.appdirect.com	1849389	NULL	NULL
67749	181.174.114.7/32	12425104	test.appdirect.com	1849389	NULL	NULL
67750	104.18.70.113/32	12425104	test.appdirect.com	1849389	NULL	NULL
67751	138.91.26.45/32	12425104	test.appdirect.com	1849389	NULL	NULL
67752	54.68.149.148/32	12425104	test.appdirect.com	1849389	NULL	NULL
67753	34.250.229.97/32	12425104	test.appdirect.com	1849389	NULL	NULL
67754	47.73.88.28/30	12425104	test.appdirect.com	1849389	NULL	NULL
67755	77.158.25.32/28	12425104	test.appdirect.com	1849389	NULL	NULL
67756	104.27.133.168/32	12425104	test.appdirect.com	1849389	NULL	NULL
67757	54.182.0.0/16	12425104	test.appdirect.com	1849389	NULL	NULL
67758	13.59.250.0/26	12425104	test.appdirect.com	1849389	NULL	NULL
67759	52.46.0.0/18	12425104	test.appdirect.com	1849389	NULL	NULL
67760	202.32.59.139/32	12425104	test.appdirect.com	1849389	NULL	NULL
67761	88.157.218.160/27	12425104	test.appdirect.com	1849389	NULL	NULL
67762	192.30.175.200/32	12425104	test.appdirect.com	1849389	NULL	NULL
67763	83.142.237.81	12425104	test.appdirect.com	1849389	NULL	NULL
67764	52.6.191.236/32	12425104	test.appdirect.com	1849389	NULL	NULL
67765	199.83.128.0/21	12425104	test.appdirect.com	1849389	NULL	NULL
67766	184.74.97.210/32	12425104	test.appdirect.com	1849389	NULL	NULL
67767	194.62.232.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67768	192.16.137.2/32	12425104	test.appdirect.com	1849389	NULL	NULL
67769	54.241.19.239/32	12425104	test.appdirect.com	1849389	NULL	NULL
67770	88.84.81.228/32	12425104	test.appdirect.com	1849389	NULL	NULL
67771	89.227.208.160/28	12425104	test.appdirect.com	1849389	NULL	NULL
67772	18.203.239.182/32	12425104	test.appdirect.com	1849389	NULL	NULL
67773	64.207.216.8/29	12425104	test.appdirect.com	1849389	NULL	NULL
67774	104.132.12.65/32	12425104	test.appdirect.com	1849389	NULL	NULL
67775	80.254.148.0/22	12425104	test.appdirect.com	1849389	NULL	NULL
67776	63.32.229.136/32	12425104	test.appdirect.com	1849389	NULL	NULL
67777	52.166.119.99/32	12425104	test.appdirect.com	1849389	NULL	NULL
